SampleNumber	Tile	NumberOfReadsRaw	NumberOfReadsPF
4	2311	352074	340984
5	2311	255999	247625
6	2311	315635	304796
7	2311	312840	302060
8	2311	159882	154836
0	2312	86073	68016
1	2312	388360	375756
2	2312	241381	233605
3	2312	511293	492742
4	2312	357581	345788
5	2312	260634	252223
6	2312	319278	307867
7	2312	318016	306737
8	2312	162557	157096
0	2313	87767	68656
1	2313	396922	383332
2	2313	245298	236788
3	2313	519786	500006
4	2313	365534	352635
5	2313	266280	256973
6	2313	325709	313548
7	2313	325277	312937
8	2313	166530	160502
0	2314	90243	69613
1	2314	403319	388864
2	2314	250487	241402
3	2314	530002	508911
4	2314	371220	357561
5	2314	270344	260511
6	2314	331111	318182
7	2314	330408	317274
8	2314	169746	163513
0	2315	91980	70180
1	2315	410980	395484
2	2315	255156	245208
3	2315	540654	517845
4	2315	378140	363725
5	2315	276493	265735
6	2315	336725	323103
7	2315	335444	321519
8	2315	172920	166146
0	2316	92944	69562
1	2316	422824	404708
2	2316	261463	250061
3	2316	553018	526658
4	2316	389040	371999
5	2316	283300	270993
6	2316	341855	326033
7	2316	342084	326041
8	2316	175998	168318
